afkorting,plaatsnaam
ULFT,Ulft
ULICOT,Ulicoten
ULRUM,Ulrum
ULVNHT,Ulvenhout
ULVHAC,Ulvenhout AC
URETRP,Ureterp
URK,Urk
URMOND,Urmond
URSEM,Ursem
URSEMS,Ursem gem. S
USQURT,Usquert
UTRECH,Utrecht
VAALS,Vaals
VAASSN,Vaassen
VALBRG,Valburg
VALKLI,Valkenburg LI
VALKZH,Valkenburg ZH
VALKWD,Valkenswaard
VALTHE,Valthe
VALTMD,Valthermond
VARIK,Varik
VARSSD,Varsselder
VARSSV,Varsseveld
VASSE,Vasse
VEELRV,Veelerveen
VEEN,Veen
VEENDM,Veendam
VEENDL,Veenendaal
VEENHZ,Veenhuizen
VEENGN,Veeningen
VEENKL,Veenklooster
VEENOO,Veenoord
VEERE,Veere
VEESSN,Veessen
VEGELO,Vegelinsoord
VEGHEL,Veghel
VELDDR,Velddriel
VELDEN,Velden
VELDHV,Veldhoven
VELPGE,Velp GE
VELPNB,Velp NB
VELSNN,Velsen-Noord
VELSNZ,Velsen-Zuid
VELSBR,Velserbroek
VENEBG,Venebrugge
VENHRS,Venhorst
VENHZN,Venhuizen
VENLO,Venlo
VENRAY,Venray
VENZEL,Ven-Zelderheide
VESSEM,Vessem
VETHZN,Vethuizen
VEULEN,Veulen
VIANNB,Vianen NB
VIANUT,Vianen UT
VIERKK,Vierakker
VIERHT,Vierhouten
VIERHZ,Vierhuizen
VIERLB,Vierlingsbeek
VIERPL,Vierpolders
VIJFHZ,Vijfhuizen
VIJLEN,Vijlen
VILSTR,Vilsteren
VINKGA,Vinkega
VINKLM,Vinkel
VINKLB,Vinkel Bernheze
VINKBT,Vinkenbuurt
VINKVN,Vinkeveen
VISVLT,Visvliet
VLAARD,Vlaardingen
VLAGTW,Vlagtwedde
VLEDDE,Vledder
VLEDDR,Vledderveen DR
VLEDGR,Vledderveen GR
VLEUTN,Vleuten
VLIELD,Vlieland
VLIERD,Vlierden
VLIJMN,Vlijmen
VLISSG,Vlissingen
VLIST,Vlist
VLODRP,Vlodrop
VOERDL,Voerendaal
VOGELZ,Vogelenzang
VOGELW,Vogelwaarde
VOLEND,Volendam
VOLKEL,Volkel
VOLLHV,Vollenhove
VONDPL,Vondelingenplaat Rdam
VOORB,Voorburg
VOORHT,Voorhout
VOORSC,Voorschoten
VOOROU,Voorst Oude IJsselstreek
VOORVO,Voorst Voorst
VOORTH,Voorthuizen
VORCHT,Vorchten
VORDEN,Vorden
VORSTB,Vorstenbosch
VORTML,Vortum-Mullem
VRAGDR,Vragender
VREDHM,Vredenheim
VREDPL,Vredepeel
VREELD,Vreeland
VRIES,Vries
VRIESL,Vriescheloo
VRIEZV,Vriezenveen
VROOMH,Vroomshoop
VROUAK,Vrouwenakker
VROUPR,Vrouwenparochie
VROUPD,Vrouwenpolder
VUGHT,Vught
VUREN,Vuren
WAAKSS,Waaksens
WAAL,Waal
WAALRE,Waalre
WAALWK,Waalwijk
WAARDE,Waarde
WAARBG,Waardenburg
WAARDR,Waarder
WAARHZ,Waardhuizen
WAARLD,Waarland
WAAXNS,Waaxens
WACHTM,Wachtum
WADDXV,Waddinxveen
WADENO,Wadenoijen
WAGENB,Wagenberg
WAGNBG,Wagenborgen
WAGNGN,Wageningen
WALEM,Walem
WALSRD,Walsoorden
WALTWD,Walterswald
WAMEL,Wamel
WANNPV,Wanneperveen
WANROJ,Wanroij
WANSSM,Wanssum
WANSWT,Wanswert
WAPNVD,Wapenveld
WAPSE,Wapse
WAPSVN,Wapserveen
WARDER,Warder
WARFFM,Warffum
WARFHZ,Warfhuizen
WARFSM,Warfstermolen
WARMNH,Warmenhuizen
WARMND,Warmond
WARNS,Warns
WANSVD,Warnsveld
WARSTN,Warstiens
WARTEN,Warten
WASKEM,Waskemeer
WASPIK,Waspik
WASSNR,Wassenaar
WATERN,Wateren
WATERG,Watergang
WATERH,Waterhuizen
WATERI,Wateringen
WATERK,Waterlandkerkje
WAVERV,Waverveen
WEDDE,Wedde
WEERSL,Weerselo
WEERT,Weert
WEESP,Weesp
WEHEDH,Wehe-den Hoorn
WEHL,Wehl
WEIDUM,Weidum
WEITVN,Weiteveen
WEKERM,Wekerom
WELLGE,Well GE
WELLLI,Well L
WELLRL,Wellerlooi
WELSUM,Welsum
WEMELD,Wemeldinge
WENUMW,Wenum Wiesel
WERGEA,Wergea
WERKDM,Werkendam
WERKHV,Werkhoven
WERNHT,Wernhout
WERVHF,Wervershoof
WESEPE,Wesepe
WESSEM,Wessem
WBEEMS,Westbeemster
WBROEK,Westbroek
WDORP,Westdorp
WDORPE,Westdorpe
WNDRP,Westendorp
WRBEEK,Westerbeek
WRBORK,Westerbork
WRBROE,Westerbroek
WREMDN,Westeremden
WRGEES,Westergeest
WRHAAR,Westerhaar-Vriezenv wijk
WESTHV,Westerhoven
WRLAND,Westerland
WRLEE,Westerlee
WRNIEL,Westernieland
WRVELD,Westervelde
WRVOOR,Westervoort
WRWIJT,Westerwijtwerd
WGRAFT,West-Graftdijk
WESTHM,Westhem
WHOEK,Westhoek
WKAPLL,Westkapelle
WKNOLD,Westknollendam
WMAAS,Westmaas
WTERSC,West-Terschelling
WWOUD,Westwoud
WZAAN,Westzaan
WETERG,Wetering
WETEBG,Weteringbrug
WETSNS,Wetsens
WETSNG,Wetsinge
WEURT,Weurt
WEZEP,Wezep
WEZUP,Wezup
WEZUPB,Wezuperbrug
WICHMD,Wichmond
WIER,Wier
WIERDN,Wierden
WIERWD,Wieringerwaard
WIERWF,Wieringerwerf
WIERUM,Wierum
WIJCHN,Wijchen
WIJCKL,Wijckel
WIJDNS,Wijdenes
WIJDWR,Wijdewormer
WIJHE,Wijhe
WIJKAZ,Wijk aan Zee
WIJKDS,Wijk bij Duurstede
WIJKAB,Wijk en Aalburg
WIJLRE,Wijlre
WIJNAL,Wijnaldum
WIJNRD,Wijnandsrade
WIJNBG,Wijnbergen
WIJNGD,Wijngaarden
WIJNWD,Wijnjewoude
WIJSTR,Wijster
WILBRT,Wilbertoord
WILDVK,Wildervank
WILHDP,Wilhelminadorp
WILHOO,Wilhelminaoord
WILLOO,Willemsoord
WILLST,Willemstad
WILNIS,Wilnis
WILP,Wilp
WILSUM,Wilsum
WINDE,Winde
WINDRK,Windraak
WINKEL,Winkel
WINNWR,Winneweer
WINSCH,Winschoten
WINSSN,Winssen
WINSFR,Winsum Fr
WINSGR,Winsum GR
WINTLR,Wintelre
WINTWK,Winterswijk
WINTBR,Winterswijk Brinkheurne
WINTCO,Winterswijk Corle
WINTHX,Winterswijk Henxel
WINTHU,Winterswijk Huppel
WINTKO,Winterswijk Kotten
WINTME,Winterswijk Meddo
WINTMI,Winterswijk Miste
WINTRA,Winterswijk Ratum
WINTWO,Winterswijk Woold
WIRDFR,Wirdum Fr
WIRDGR,Wirdum Gn
WISSKK,Wissenkerke
WITHRN,Witharen
WITMSM,Witmarsum
WITTEP,Witte Paarden
WITTLT,Wittelte
WITTEM,Wittem
WITTVN,Witteveen
WIUWRT,Wiuwert
WJELSP,Wjelsryp
WOENSD,Woensdrecht
WOERDN,Woerden
WOEVRL,Woerdense Verlaat
WOGNUM,Wognum
WOLDDP,Woldendorp
WOLFHZ,Wolfheze
WOLPHD,Wolphaartsdijk
WOLSUM,Wolsum
WOLTSM,Woltersum
WOLVGA,Wolvega
WOMMLS,Wommels
WONS,Wons
WORKUM,Workum
WORMER,Wormer
WORMVR,Wormerveer
WOUBRG,Woubrugge
WOUDBL,Woudbloem
WOUDBG,Woudenberg
WOUDRM,Woudrichem
WOUDSD,Woudsend
WOUW,Wouw
WOUWPL,Wouwse Plantage
WYNS,Wyns
WYTGRD,Wytgaard
YDE,Yde
YERSKE,Yerseke
YPECLS,Ypecolsga
YSBRCH,Ysbrechtum
YSSELS,Ysselsteyn LI
ZAAMSL,Zaamslag
ZAANDM,Zaandam
ZAANDK,Zaandijk
ZALK,Zalk
ZALTBM,Zaltbommel
ZANDBG,Zandberg
ZANDWR,Zandeweer
ZANDHZ,Zandhuizen
ZANDPL,Zandpol
ZANDVT,Zandvoort
ZEDDAM,Zeddam
ZEEGSE,Zeegse
ZEELND,Zeeland
ZEERP,Zeerijp
ZEEWLD,Zeewolde
ZEGGE,Zegge
ZEGVLD,Zegveld
ZEIJEN,Zeijen
ZEIJRV,Zeijerveen
ZEIJRD,Zeijerveld
ZEIST,Zeist
ZELHEM,Zelhem
ZENDRN,Zenderen
ZENWTL,Zennewijnen
ZENWNR,Zennewijnen Neerijnen
ZETTEN,Zetten
ZEVENR,Zevenaar
ZEVENB,Zevenbergen
ZEVBHM,Zevenbergschen Hoek
ZEVBHD,Zevenbergschen Hoek Dri
ZEVNHV,Zevenhoven
ZEVHGR,Zevenhuizen GR
ZEVHZH,Zevenhuizen ZH
ZIERKZ,Zierikzee
ZIEUWT,Zieuwent
ZIJDVD,Zijderveld
ZIJDWD,Zijdewind
ZIJLDK,Zijldijk
ZOELEN,Zoelen
ZOELMD,Zoelmond
ZOETMR,Zoetermeer
ZOETWD,Zoeterwoude
ZONNEM,Zonnemaire
ZORGVL,Zorgvlied
ZOUTLD,Zoutelande
ZOUTKP,Zoutkamp
ZBEIJL,Zuid-Beijerland
ZBROEK,Zuidbroek
ZDORPP,Zuiddorpe
ZRMEER,Zuidermeer
ZRWOUD,Zuiderwoude
ZHORN,Zuidhorn
ZLAARV,Zuidlaarderveen
ZLAND,Zuidland
ZLAREN,Zuidlaren
ZOBEEM,Zuidoostbeemster
ZSCHAR,Zuid-Scharwoude
ZSCHER,Zuidschermer
ZVEEN,Zuidveen
ZVELD,Zuidveld
ZVELDE,Zuidvelde Noordenveld
ZWLDDR,Zuidwolde DR
ZWLDGR,Zuidwolde GR
ZZANDE,Zuidzande
ZUILCH,Zuilichem
ZUNA,Zuna
ZUNDRT,Zundert
ZURICH,Zurich
ZUTPHN,Zutphen
ZUURDK,Zuurdijk
ZWAAG,Zwaag
ZWAAGO,Zwaagdijk-Oost
ZWAAGW,Zwaagdijk-West
ZWAANH,Zwaanshoek
ZWAGRB,Zwagerbosch
ZWAMMD,Zwammerdam
ZWANBG,Zwanenburg
ZWARTB,Zwartebroek
ZWARTM,Zwartemeer
ZWARTW,Zwartewaal
ZWARTS,Zwartsluis
ZWEELO,Zweeloo
ZWEINS,Zweins
ZWIGGT,Zwiggelte
ZWIJND,Zwijndrecht
ZWINDR,Zwinderen
ZWOLLE,Zwolle
1EXLMD,1e Exloermond
2EXLMD,2e Exloermond
2VLTMD,2e Valthermond
